HMDB15499	D07126
HMDB15519	D08347
HMDB15483	D02376
HMDB15603	D01981
HMDB15253	D00504
HMDB15212	D00535
HMDB14567	D00402
HMDB15565	D03710
HMDB14536	D08426;D01118
HMDB00161	D00012
HMDB00181	D00059
HMDB33835	D02382
HMDB14790	D00498
HMDB15694	D00955
HMDB15132	D03899
HMDB01562	D07986
HMDB15472	D08261
HMDB29940	D02324
HMDB15039	D00313
HMDB14895	D07867
HMDB15681	D08971
HMDB15232	D00560
HMDB15585	D07721
HMDB01889	D00371
HMDB15205	D07471
HMDB15341	D08115
HMDB15679	D00436
HMDB15498	D02969
HMDB00956	D00103
HMDB14735	D01137
HMDB15081	D05457
HMDB14404	D08543
HMDB33209	D07950
HMDB15278	D07733
HMDB42056	D01362
HMDB03073	D07213
HMDB01488	D00049
HMDB15497	D05309
HMDB14744	D01256
HMDB15128	D00238
HMDB14368	D07827
HMDB14374	D07648
HMDB14553	D02682
HMDB15682	D00468
HMDB14774	D00279
HMDB15010	D07748
HMDB15228	D00460
HMDB29723	D01085
HMDB29665	D01086
HMDB14900	D08086
HMDB01398	D00117
HMDB14584	D02368
HMDB14452	D03106
HMDB14952	D00969
HMDB15316	D00327
HMDB14416	D02240
HMDB15420	D00461
HMDB15542	D08396
HMDB14970	D00508
HMDB14913	D08607
HMDB15317	D08339
HMDB14755	D00495
HMDB14917	D00183
HMDB14520	D08638
HMDB15335	D08224
HMDB15466	D00570
HMDB02086	D00042
HMDB15007	D07871
HMDB14668	D00733
HMDB15372	D07727
HMDB14950	D00510
HMDB15383	D07905
HMDB32040	D03093
HMDB32558	D07857
HMDB15005	D02359
HMDB02274	D03246
HMDB05034	D00537
HMDB15148	D01272;D07715
HMDB14349	D00647
HMDB14558	D00219
HMDB14345	D01027
HMDB02308	D01027
HMDB32725	D01676
HMDB00462	D00121
HMDB14524	D03730
HMDB14624	D08465
HMDB14522	D01217
HMDB15552	D07065
HMDB14407	D00254
HMDB00131	D00028
HMDB15231	D00323
HMDB14730	D00807
HMDB15344	D00707
HMDB41845	D01804
HMDB04025	D00189
HMDB15506	D08346
HMDB32456	D00705
HMDB14610	D00310
HMDB15294	D02888
HMDB15323	D08323
HMDB36656	D07576
HMDB33724	D02159
HMDB14656	D00275
HMDB15698	D07700
HMDB14629	D05099
HMDB00097	D07690
HMDB15343	D07659
HMDB14858	D03545
HMDB14442	D07552
HMDB33956	D03791
HMDB41220	D03782
HMDB15537	D00476
HMDB02061	D08043
HMDB15583	D01775
HMDB15505	D00532
HMDB14546	D02624
HMDB14717	D07614
HMDB15142	D00890
HMDB01413	D00057
HMDB14815	D00043
HMDB15260	D00961
HMDB14841	D00655
HMDB15243	D02049
HMDB05011	D07729
HMDB15608	D09318
HMDB14365	D08259
HMDB14849	D07825
HMDB05026	D08463
HMDB15304	D08305
HMDB05012	D00454
HMDB15096	D08181
HMDB41938	D05087
HMDB15592	D08575
HMDB15550	D00517
HMDB01382	D00517
HMDB06048	D03144
HMDB02350	D01924
HMDB15490	D07467
HMDB15273	D07875
HMDB14392	D02357
HMDB29806	D04991
HMDB01406	D00036
HMDB00051	D02916
HMDB15037	D00296
HMDB01139	D00081
HMDB00251	D00047
HMDB14821	D00550
HMDB14677	D00186
HMDB01569	D01527
HMDB14577	D00493
HMDB05010	D02360
HMDB14756	D03680
HMDB14535	D01226
HMDB14987	D00700
HMDB00904	D07706
HMDB15371	D00334
HMDB00094	D00037
HMDB14527	D08325
HMDB15418	D01235
HMDB15487	D07064
HMDB42020	D07184
HMDB15566	D00853
HMDB14597	D08343
HMDB14971	D00256
HMDB14623	D04687
HMDB15478	D07377
HMDB14323	D00400
HMDB14464	D08380
HMDB14678	D01646
HMDB14626	D02292
HMDB02100	D08328
HMDB00063	D00088
HMDB14879	D00088
HMDB14997	D00496
HMDB15638	D02276
HMDB15644	D07522
HMDB14507	D00283
HMDB14752	D00830
HMDB14408	D00450
HMDB14515	D00376
HMDB01371	D00083
HMDB15098	D07541
HMDB32127	D07367
HMDB15167	D04931
HMDB00687	D00030
HMDB32567	D04441
HMDB15024	D00247
HMDB15192	D00210
HMDB59838	D06392
HMDB15379	D01474
HMDB14946	D00345
HMDB15230	D08492
HMDB14395	D00592
HMDB41988	D07314
HMDB14631	D02841
HMDB02111	D00001
HMDB15691	D07853
HMDB14605	D00715
HMDB15219	D08420
HMDB14731	D00539
HMDB01984	D00321
HMDB06083	D07180
HMDB15217	D00525
HMDB15451	D00124
HMDB14560	D00761
HMDB11628	D00156
HMDB00045	D02769
HMDB15468	D00297
HMDB01867	D06890
HMDB35474	D04632
HMDB15428	D00264
HMDB15634	D08996
HMDB15191	D00471
HMDB15150	D00447
HMDB00151	D00105
HMDB01921	D04966
HMDB15171	D03731
HMDB14747	D00591
HMDB14749	D03197
HMDB41831	D01323
HMDB14947	D00397
HMDB14385	D07116
HMDB14890	D08625
HMDB60406	D01309
HMDB14708	D01295
HMDB00143	D04291
HMDB11187	D01587
HMDB14433	D01387
HMDB14698	D00902
HMDB14984	D00328
HMDB15485	D00922
HMDB14526	D08555
HMDB00253	D00143
HMDB04826	D07148
HMDB14350	D00488
HMDB15092	D05209
HMDB14411	D03798
HMDB02369	D02815
HMDB14720	D00578
HMDB14700	D01079
HMDB00186	D00046
HMDB00248	D08125
HMDB00062	D02176
HMDB15348	D00960
HMDB14894	D00859
HMDB14884	D03670
HMDB01847	D00528
HMDB14817	D00373
HMDB15676	D01266
HMDB41925	D00389
HMDB05017	D05353
HMDB14957	D00218
HMDB14891	D00545
HMDB14617	D04985
HMDB14493	D01253
HMDB14492	D05177
HMDB00042	D00010
HMDB14438	D01064
HMDB13711	D04667
HMDB36566	D01031
HMDB41873	D07269
HMDB05020	D00426
HMDB14951	D00320
HMDB15042	D08588
HMDB15329	D01372
HMDB15627	D01277
HMDB15256	D00380
HMDB14848	D08056
HMDB15702	D09017
HMDB02048	D04951
HMDB14976	D07719;D02287
HMDB00234	D00075
HMDB14810	D00271
HMDB15598	D01665
HMDB15293	D08569
HMDB15097	D00530
HMDB00125	D00014
HMDB14328	D07445
HMDB15018	D00519
HMDB01935	D08682
HMDB14615	D00326
HMDB14770	D03884
HMDB15216	D07890
HMDB14683	D00228
HMDB41890	D01514
HMDB15233	D01223
HMDB32708	D01558
HMDB42038	D02575
HMDB14876	D08333
HMDB13868	D03911
HMDB14915	D02361
HMDB14397	D00512
HMDB15333	D00709
HMDB04998	D00337
HMDB03249	D08499
HMDB14537	D00438
HMDB00034	D00034
HMDB14694	D00127
HMDB15551	D04051
HMDB15414	D02282
HMDB14329	D01631
HMDB32573	D01647
HMDB14905	D00243
HMDB15149	D07488
HMDB02994	D08915
HMDB39530	D01892
HMDB00122	D00009
HMDB14918	D08349
HMDB00883	D00039
HMDB01944	D07398
HMDB14937	D01132
HMDB15441	D00698
HMDB14705	D00759
