CID100004178	DB07129;DB00379
CID100004184	DB06148
CID100004189	DB01110
CID100004192	DB00683
CID100004195	DB00211
CID100004196	DB00834
CID100004197	DB00235
CID100004201	DB00350;DB08225
CID100004205	DB00370
CID100004211	DB00648
CID100004212	DB01204
CID100004235	DB01171
CID100004236	DB00745
CID100004240	-
CID100004248	DB00471
CID100004253	DB00295
CID100004259	DB00218
CID100004264	DB00410
CID100004271	DB00688
CID100004272	DB01024
CID100004274	-
CID100004409	DB00461
CID100004411	DB01203
CID100004419	DB00844
CID100004421	DB00779
CID100004422	-
CID100004425	DB01183
CID100004428	DB05508;DB05302;DB00704
CID100004432	DB08804
CID100004436	DB06711
CID100004440	DB00952
CID100004443	DB00731
CID100004449	DB01149
CID100004450	-
CID100004451	DB00220;DB05251
CID100004454	DB00994;DB00452
CID100004456	DB01400
CID100004463	DB08311;DB00238
CID100004473	DB00622
CID100004485	DB01115
CID100004493	DB00665
CID100004497	DB00393
CID100004499	DB00401
CID100004506	DB01595
CID100004509	DB00698
CID100004510	DB00727
CID100004513	DB00585
CID100004536	DB00717
CID100004539	DB01059
CID100004542	DB00367;DB00506
CID100004543	DB00540
CID100004547	DB00912
CID100004568	-
CID100004583	DB01165;DB03034;DB01137
CID100004585	DB00334
CID100004594	DB00736;DB00338
CID100004595	DB00904
CID100004599	DB01083
CID100004601	DB01173
CID100004603	DB00198
CID100004607	DB00713
CID100004609	DB00958;DB00526
CID100004614	DB00991
CID100004616	DB00842
CID100004623	DB00239
CID100004631	DB01580
CID100004634	DB01062
CID100004635	DB00497
CID100004638	-
CID100004639	DB01192
CID100004649	DB00233
CID100004666	DB01229
CID100004673	DB00282
CID100004675	DB01337
CID100004678	-
CID100004679	DB00213
CID100004680	DB01113;DB07725
CID100004689	DB01421
CID100004691	DB00715
CID100004695	-
CID100004724	DB01359
CID100004725	DB00299;DB01730
CID100004727	DB00859
CID100004730	DB08415;DB00417
CID100004735	DB00738
CID100004736	DB00652
CID100004737	DB00312
CID100004739	DB00552
CID100004740	DB00806
CID100004745	DB01186
CID100004746	DB01074
CID100004747	DB01608
CID100004748	DB00850
CID100004756	DB01438
CID100004763	DB01174
CID100004768	DB00925
CID100004771	DB00191
CID100004775	DB02000
CID100004782	DB00388
CID100004786	DB00397;DB01486
CID100004810	-
CID100004811	DB00981
CID100004812	DB01022
CID100004819	DB01085
CID100004828	DB00960
CID100004829	DB01132
CID100004834	DB00319
CID100004845	DB01291
CID100004865	DB01179;DB08417
CID100004868	DB00781
CID100004870	DB01324
CID100004885	DB00413
CID100004889	DB00175;DB05373
CID100004891	DB01058
CID100004893	DB00457
CID100004894	DB00860
CID100004895	-
CID100004896	-
CID100004900	DB00635
CID100004906	DB00750
CID100004908	DB01087
CID100004909	DB00794
CID100004911	DB01032
CID100004913	DB01035
CID100004914	DB00721
CID100004915	DB01168
CID100004917	DB00433
CID100004920	DB00396
CID100004923	DB01131
CID100004927	DB01069
CID100004932	DB01182
CID100004934	DB00782
CID100004935	DB00807
CID100004943	DB00818
CID100004946	DB00571;DB03322
CID100004976	DB00344
CID100004989	-
CID100004991	DB00545
CID100004992	DB06691
CID100004993	DB00205
CID100004999	DB01589
CID100005002	DB01224
CID100005005	DB00881
CID100005029	DB01129
CID100005032	DB01364;DB00852
CID100005035	DB00481
CID100005038	DB00178
CID100005039	DB00863
CID100005040	DB00877
CID100005051	DB01180
CID100005052	DB00206
CID100005064	DB00811
CID100005070	DB00740
CID100005071	DB00478
CID100005073	DB00734
CID100005076	DB00503
CID100005077	DB00989
CID100005078	DB00953
CID100005090	DB00533
CID100005095	DB00268
CID100005106	DB00778
CID100005152	DB00938
CID100005155	DB00649
CID100005161	DB01399
CID100005184	DB00747
CID100005193	DB00418
CID100005195	DB01037
CID100005203	DB01104;DB08567
CID100005206	DB01236
CID100005210	DB01105
CID100005212	DB00203
CID100005214	DB05245
CID100005215	DB00359
CID100005238	-
CID100005245	DB02782;DB00884
CID100005248	DB00464
CID100005253	DB00489
CID100005257	DB01208
CID100005267	DB00421
CID100005291	DB00619;DB03261
CID100005297	DB01082
CID100005300	DB00428
CID100005311	DB02546
CID100005314	DB00202
CID100005318	-
CID100005320	DB00634
CID100005329	DB01015
CID100005333	DB00259
CID100005352	DB00605
CID100005358	DB00669
CID100005359	DB00870
CID100005372	DB00864
CID100005376	DB00675
CID100005379	DB01044
CID100005381	DB00799
CID100005391	DB00231
CID100005394	DB00853
CID100005396	DB00444
CID100005401	DB01162
CID100005402	DB00857
CID100005403	DB00871
CID100005404	DB00251
CID100005407	DB00894
CID100005408	DB07768;DB00624
CID100005409	-
CID100005410	DB01420
CID100005411	-
CID100005419	-
CID100005426	DB01041
CID100005430	DB08630;DB00730
CID100005452	DB00679
CID100005453	DB04572
CID100005454	DB01623
CID100005466	DB00906
CID100005468	DB01600
CID100005470	-
CID100005472	DB00208
CID100005478	DB00373;DB08625
CID100005479	DB00911
CID100005483	-
CID100005486	DB00775
CID100005487	DB00697
CID100005496	DB00684
CID100005503	DB00839
CID100005505	DB01124
CID100005508	DB00500
CID100005512	DB01036
CID100005514	DB00273
CID100005515	DB01030
CID100005516	DB00539
CID100005523	DB00193
CID100005524	-
CID100005525	DB00519
CID100005526	DB00302
CID100005530	DB00752;DB02665
CID100005533	DB00656
CID100005538	DB00523;DB00755;DB00982
CID100005544	DB00620
CID100005546	DB00384
CID100005556	DB00897
CID100005564	DB08604
CID100005565	-
CID100005566	DB08616;DB00831
CID100005572	DB00376
CID100005576	DB00347
CID100005577	DB00662
CID100005578	DB03125;DB00440
CID100005582	DB01157
CID100005584	DB00726
CID100005591	DB00197;DB08607
CID100005593	DB00809
CID100005595	-
CID100005596	DB00209
CID100005625	DB00705;DB08563
CID100005636	-
CID100005645	DB06777;DB01586
CID100005647	DB00577
CID100005650	DB00177
CID100005651	DB00512
CID100005656	DB00285
CID100005665	DB01080
CID100005672	DB00361
CID100005717	DB00549
CID100005718	DB00943
CID100005719	DB00962
CID100005721	DB00558
CID100005726	DB00495
CID100005727	-
CID100005731	DB00315
CID100005732	DB00425
CID100005734	DB00909
CID100005735	DB01198;DB00402
CID100005746	DB00305
CID100005771	-
CID100005775	DB00692
CID100005877	-
CID100005878	DB00621
CID100005939	-
CID100005978	DB00541
CID100006018	DB04844
CID100006049	DB00974
CID100006058	DB00847
CID100006116	DB00258
CID100006238	-
CID100006256	DB00432
CID100006432	DB00556
CID100006436	-
CID100006451	-
CID100006468	DB03575
CID100006476	DB05246
CID100006503	DB03754
CID100006726	DB01176
CID100007012	-
CID100007029	DB00937
CID100007187	-
CID100007638	DB00600
CID100007699	DB00868
CID100008197	-
CID100008230	-
CID100008612	DB01161
CID100008982	DB08269;DB00607
CID100009034	DB00474
CID100009354	DB00566
CID100009433	DB01223
CID100009904	-
CID100010100	DB00647
CID100010340	DB01390
CID100010413	DB01440
CID100010547	DB01057
CID100010631	-
CID100010660	DB00985
CID100011125	-
CID100011973	-
CID100012453	DB01624
CID100012460	DB01579
CID100012536	DB01260
CID100012555	-
CID100012559	-
CID100012597	-
CID100012620	DB00632
CID100013314	-
CID100013342	DB00570
CID100014789	-
CID100014888	-
CID100014917	-
CID100015232	-
CID100015459	DB00660
CID100016124	-
CID100016230	DB00594
CID100016362	DB01100
CID100016533	-
CID100016850	DB00693
CID100016886	DB01262
CID100017358	-
CID100018140	DB01196
CID100019090	-
CID100020585	DB01303
CID100020969	DB00838
CID100021800	-
CID100021945	-
CID100022258	DB00956
CID100022318	-
CID100022502	-
CID100023703	-
CID100023897	DB01618
CID100023925	DB01592
CID100023926	-
CID100023951	-
CID100023954	-
CID100023957	-
CID100023976	-
CID100023978	-
CID100023982	DB00597;DB00225
CID100023993	-
CID100023994	DB01593
CID100024087	-
CID100024414	-
CID100024424	-
CID100024450	-
CID100024642	-
CID100024706	-
CID100024748	DB01914
CID100024841	-
CID100025419	DB00720
CID100025959	-
CID100027304	-
CID100027400	-
CID100027661	DB01020
CID100027991	DB00035
CID100027993	-
CID100028332	-
CID100028486	DB01356
CID100029089	-
CID100030623	DB02444;DB00380
CID100031072	DB00389
CID100031264	-
CID100031378	DB00687;DB02478
CID100031477	DB01214
CID100032169	-
CID100032281	-
CID100032603	-
CID100032797	-
CID100032800	-
CID100034312	DB00776
CID100036339	DB00292
CID100036523	DB00644
CID100036811	DB00841
CID100037392	DB01218
CID100037720	DB00686
CID100038904	-
CID100039042	DB01393;DB08380
CID100039507	DB00896
CID100039524	-
CID100039764	DB01339
CID100039860	DB00486
CID100040159	DB04930
CID100040632	DB04951
CID100040703	-
CID100040973	DB00304
CID100040976	DB00294
CID100041317	DB00459
CID100041684	DB00507
CID100041693	DB00708
CID100041744	DB00385
CID100041774	DB00284
CID100041781	DB00214
CID100042113	DB01189
CID100042395	-
CID100042615	-
CID100042955	DB05379;DB00929
CID100044563	-
CID100044564	-
CID100045469	-
CID100047319	DB00732
CID100047320	-
CID100047419	-
CID100047471	DB00639
CID100047528	-
CID100047640	DB00735
CID100047725	DB00014
CID100050294	DB00716
CID100050614	DB01330
CID100051263	DB00802
CID100051577	DB00491
CID100051634	DB00419
CID100052421	DB01130
CID100054158	-
CID100054313	-
CID100054331	-
CID100054373	DB00104
CID100054454	DB00641
CID100054547	DB01416
CID100054688	DB01211
CID100054786	DB00374
