N06AA01	CID100002995
D07AC03	CID100003000
D07XC02	CID100003000
S01BA06	CID100003003
D07AB19	CID100003003
C05AA09	CID100003003
D07AC01	CID100003003
S03BA03	CID100003003
H02AB02	CID100003003
S01CB04	CID100003003
S02BA07	CID100003003
A01AC02	CID100003003
D07XB05	CID100003003
R01AD03	CID100003003
D10AA03	CID100003003
R01AD06	CID100003003
R03BA04	CID100003003
C05AA05	CID100003003
H02AB01	CID100003003
S02BA06	CID100003003
S03BA01	CID100003003
A07EA04	CID100003003
S01CB01	CID100003003
D07XC01	CID100003003
S01BA01	CID100003003
N06BA02	CID100003007
N06BA01	CID100003007
R05DA09	CID100003008
D11AX16	CID100003009
P01CX03	CID100003009
G03HA01	CID100003015
N05BA01	CID100003016
C02DA01	CID100003019
V03AH01	CID100003019
M02AA15	CID100003032
D11AX18	CID100003032
S01BC03	CID100003032
M01AB05	CID100003032
S01EC02	CID100003038
J01CF01	CID100003040
A03AA07	CID100003042
J05AF02	CID100003043
N02BA11	CID100003059
D07AC19	CID100003060
C01AA05	CID100003062
N02AA08	CID100003063
N02CA01	CID100003066
C05AE03	CID100003075
C08DB01	CID100003075
V03AB09	CID100003080
D04AA32	CID100003100
N04AB01	CID100003100
R06AA02	CID100003100
S01EA02	CID100003105
B01AC07	CID100003108
C01BA03	CID100003114
N07BB01	CID100003117
P03AA04	CID100003117
N03AG01	CID100003121
C02KB01	CID100003125
L01CD02	CID100003143
A04AA04	CID100003148
A03FA03	CID100003151
N06DA02	CID100003152
S01EC03	CID100003154
N06AA16	CID100003155
R07AB01	CID100003156
C02CA04	CID100003157
N06AA12	CID100003158
N05AD08	CID100003168
R03DA01	CID100003182
G01AF05	CID100003198
D01AC03	CID100003198
L01CX01	CID100003199
J05AG03	CID100003203
S01GX06	CID100003219
C09AA02	CID100003222
N01AB04	CID100003226
S01GX10	CID100003241
R06AX24	CID100003241
A11CC01	CID100003249
G02AB03	CID100003250
N02CA02	CID100003251
S01AA17	CID100003255
J01FA01	CID100003255
D10AF02	CID100003255
N05CD04	CID100003261
G03CC06	CID100003269
G03CA04	CID100003269
C03CC01	CID100003278
J04AK02	CID100003279
N03AD01	CID100003291
N03AB01	CID100003292
M05BA01	CID100003305
M01AB08	CID100003308
L01CB01	CID100003310
J05AB09	CID100003324
S01AD07	CID100003324
A02BA03	CID100003325
N03AX10	CID100003331
C08CA02	CID100003333
C10AB05	CID100003339
C01CA19	CID100003340
M01AE04	CID100003342
N01AH01	CID100003345
N02AB03	CID100003345
R06AX26	CID100003348
D11AX10	CID100003350
G04CB01	CID100003350
G04BD02	CID100003354
C01BC04	CID100003355
J01CF05	CID100003364
J02AC01	CID100003365
D01AC15	CID100003365
J02AX01	CID100003366
D01AE21	CID100003366
