E00645	Zaocys dhumnades
E00646	Colubridae slough (Japan)
E00647	Syngnathoides biaculeatus
E00648	Syngnathus acus
E00649	Unionidae shell
E00650	Chinese cinnamon oil;Cassia oil;Cinnamon oil (JP17)
E00651	Curcuma longa tuberous root
E00652	Curcuma wenyujin rhizome
E00653	Curcuma wenyujin tuberous root
E00654	Curcuma tuberous root
E00655	Curcuma aeruginosa tuberous root
E00656	Thuja oil;Cedarleaf oil
E00657	Cedarwood oil (Texas)
E00658	Curcuma kwangsiensis rhizome
E00659	Clary sage oil
E00660	Allolobophora caliginosa
E00661	Coriander oil
E00662	Chaenomeles speciosa fruit
E00663	Galbanum oil
E00664	Ginger oil
E00665	Menispermum dauricum rhizome
E00666	Indigofera root
E00667	Ardisia crenata root
E00668	Juniper oil
E00669	Ardisia hortorum root
E00670	Ardisia mamillata root
E00671	Cistus oil;Labdanum oil
E00672	Processed panax ginseng root
E00673	Red ginseng (South Korea)
E00674	Bolboschoenus fluviatilis tuber
E00675	Ligusticum sinense rhizome
E00676	Ligusticum tenuissimum root and rhizome
E00677	Myrrh oil
E00678	Rheum officinale rhizome
E00679	Rheum coreanum rhizome
E00680	Nutmeg oil (Indonesia)
E00681	Oakmoss oil (Yugoslavia)
E00682	Olibanum oil (Arabia and Somalia);Frankincense
E00683	Chrysanthemum lavandulaefolium capitulum
E00684	Rheum undulatum rhizome
E00685	Rheum rhaponticum rhizome
E00686	Rheum emodi, Rheum spiciforme rhizome
E00687	Origanum oil;Oregano oil Spanish
E00688	Rheum compactum, Rheum franzenbachii, Rheum collinianum rhizome
E00689	Achyranthes fauriei root
E00690	Cyathula officinalis root
E00691	Cyathula capitata root
E00692	Achyranthes obtusifolia, Achyranthes rubrofusca, Achyranthes longifolia root
E00693	Achyranthes aspera, Achyranthes longifolia, Achyranthes bidentata root
E00694	Cucubalus baccifer root
E00695	Strobilanthes nemorosus root
E00696	Cimicifuga rhizome (China)
E00697	Serratula chinensis rhizome
E00698	Astilbe rhizome
E00699	Vladimiria souliei root
