H00074	271900
H00380	-
H00863	613330
H01095	186200;186300;185900;186100;186000;609432
H01632	-
H00605	616042;616515;608565;613865;613307;601071;600974;603629;611022;601072;609439;604213;614035;601386;611451;610153;613285;609646;608265;616705;615429;618094;600971;610212;613391;614617;617639;607039;613453;608653;618145;600791;614945;618013;609823;600316;603720;612645;613079;614861;605316;605428;607084;614899;615837;610419;615974;614944;610220;609706;610265;607821;609533;600060;220290;610154;602092;607101;618422;613718;609006;617637
H02273	614756
H01961	606612
H01270	605019;107730
H02248	300960
H00430	135100
H00476	614135;600969;132400;132450;600204;226900;607078
H01661	602247
H00565	608099;604286;253700;601287
H00081	-
H00264	615376;606482;603623;613641;601152;607736;605589;607678;607734;607831;618279;118210;118200;608323;607706;601596;118300;609260;214400;616280;145900;300905;615284;613287;616505;616684;616039;607677;605253;615025;614455;600882;606071;615185;616155;606595;601455;611228;601098;614228;616687;311070;601472;601382;607684;609311;616625;608673;617017;608340;616688;614436;615490;118220;604563;613353;616924;302800;607791;605588
H00924	611291
H01187	103500
H02243	130060;617821
H01105	607812
H00483	105835
H02101	608984
H00477	177170
H00646	257980
H01676	236690;611808
H00386	-
H02062	606835
H01670	-
H02245	225400;614557
H01787	-
H01045	-
H02210	603671
H00619	244460;127000
H02277	256730
H00529	614099;614378;218330;613610
H00372	-
H02227	305620;617137
H00488	201450
H01978	194380;616689
H00903	119800
H01764	208530
H02351	-
H01076	203750
H00403	214150;278730;278760;278740;133540;278700;278750;610965;278720;610758;216400;600630;610756;278780;610651;278800;601675
H02022	214450;609227;607624
H01016	613291
H00159	205400
H02317	611812
H02254	614188
H00411	-
H02194	604901
H00990	607196
H00180	253270
H00645	308300
H02023	614583;243310
H01420	-
H01613	-
H01678	220200
H01052	-
H01397	-
H02331	243150
H01194	302960;302950
H01631	-
H01870	605013
H00883	247100
H00428	179800;267300;602722
H02137	245800
H00509	612921;614205;273750
H00481	613660;600977;610283;610381;615860;300476;612657;613093;608194;615973;610356;120970;603649;615374;180020;610024;601777;610478;304020;612775;602093;616502;604116;614500
H00595	609452;617114;608810;612954;609200;617258;609524;601419
H02116	614023
H01563	-
H00032	-
H01098	-
H00787	613216;610444;610445;613411;257270;310500;610427;613830;615058;617024;258100;614565;163500;300071
H02103	616708
H00817	113620
H01064	-
H01936	614156
H00022	-
H02333	135750
H02131	614621;614640;600630
H01147	-
H01537	-
H01895	143465;613003
H01583	236800
H00531	600195;138000
H00137	607616;257200
H00122	133700;133701
H01655	-
H02141	193100
H01181	601705
H01033	300985;277180
H00563	612999;310300;612998;300696;181350
H02070	156550
H01574	615007;616413;615483;213600
H00617	602398
H00719	246200
H00600	158330;277000
H00972	612651
H01005	223360
H00966	608688
H00986	265000;253290
H01059	-
H02066	200610
H00193	274270
H00763	131705
H00287	604416
H00272	272200
H01564	-
H01615	614616
H01869	155310
H00131	253200
H00284	-
H01385	615582
H00503	225500
H01506	-
H00501	174800
H00526	208250
H00662	129600;225100
H00355	-
H00528	136760;613451;613456
H00742	607626
H01100	-
H00843	234500
H02058	226750
H00013	-
H01838	610536
H00707	146590
H00182	219500
H00709	612292
H01912	612918
H01681	-
H01512	-
H02411	-
H00216	201810;202110;201710;202010;201910
H02123	212750;609755;609753
H00097	193670
H01928	616638
H01578	-
H00985	209920
H02078	193220
H01520	-
H01856	258040
H01688	-
H01728	191830;615721;600666;173900;606702;613095
H01403	617808;135900;618027;614608;614607;616938;618362;615866;618506;614609
H00679	616140;616683;614381;616420;260600;616881;616494;608804;607694;612233;610532;612438;312080
H01955	613507
H01781	609500;300257;310440
H02319	614732
H01209	304500;300914;304400;300066;300614
H00275	219800;219750;219900
H00963	217700;217400
H01171	608902;609535
H00260	610475;610489;603390
H00732	136900
H00702	609285;609284
H01067	-
H00095	612132;300291
H01606	-
H00385	-
H02084	255995
H02040	608747
H01242	268700
H00475	609597;168500;168550
H00603	605115
H00913	610978
H01463	-
H00933	167800
H02316	612964
H01770	248200;120970;215500;312700;153840;613587
H01850	615465
H01021	-
H01423	-
H01861	613406
H00414	-
H00168	203100;203290;606952;113750;203200;606574;615179
H01051	-
H01539	-
H02204	600886
H00815	602782
H01165	-
H01344	613078;251260
H01893	130720
H00939	612541
H00517	613686;277300;609813;608681;122600;616566
H01823	-
H01083	-
H01422	-
H01450	164230
H02135	617236
H00147	604369;269921;269920
H01470	-
H00562	300376;310200;302045
H00638	604292
H01447	-
H01540	-
H01037	613674;615963;610878
H01294	300539
