H01178	22124072;2191797;21876597;17350494;11216610;22114438;22337450
H00558	21204221;18348262;18997784;19401719
H01834	16086394;20673863;4321601;20949508
H00216	12930931;16906539;18574213;15554890;18844712
H01463	24438969;18976417;16166283;21371258;20118908;18342689;20568590;24841586
H02184	20425821
H02180	12107442;10465109;18094050
H02388	27058446
H00684	7539673;9618173;21326300;21890491;7545493
H00274	18401176;12509601;1883197
H00876	11586295;11920679;21769135;22175017;16826164;15256438
H01510	26839173;22851969;17298303;25385035;17914089;24891137;18978332
H01377	23914949;21215266
H01476	16282155;26318435;25062414;19504615;26347074
H02400	9163838;20529389;20954821
H00174	16752391;16602092;12069539
H01240	20309691;17934360;17827395;21632906
H02361	19966779;25865495
H01668	20645702;16632315;20425607;18776058;25031995;12493146
H01959	17878207;15792865;14678799
H01874	24966624;22675285
H01112	19513107;21263450;20424320
H01575	16901296;26522830
H01940	20225018;15668445;16702877
H02384	24827035;18356555;8476236;31358993
H01098	18576869;22191176;3321358;19238218
H01995	18325013;8596935
H00727	18412118;12833395;17875913
H01613	24577532;26989204;24942941;23023713;15684317;20943608;25804839;24687887
H00184	9612070;11145114;21308989;15024124
H01445	22114965;21880356
H02173	20668086
H02007	24655110;12215968;9482441
H00119	11228641;15576474;17331980;23561849;23430903;22683087;17220172;10571011;16537452;11701646;24784932;11901181;7944531;26833332;17356545;19494034;11326280;26637979;26833330;10788335;19690088
H01901	21791690;25870690;21461873
H01449	25591046;20694122;18334614;23128921;20575652
H00190	21882227;20524212;18806117;15214748;22516612;12217952
H00183	9587026;9587033;14739681;10338090
H00829	22077640;18355210;21389835
H00210	17276780;17382611;17717039;17272992
H00192	10844591;9153281;29723117;14624414
H02053	10973259;21210153
H00435	30394261
H01992	23335590;16143553
H00725	15890322;20126594;19026859
H01018	6602353;20577567;21533187
H00464	11175791;12215822
H02167	18986489;11371511
H00621	20174677;20231366;18439547
H01747	16443854;18042262
H01698	26819753;25817017;27708947
H01031	14987367;11458707;10684912
H00838	25500261;20074521;21217899;18214786
H00233	19408192;12161364;10973259;1449176;17655694;16098078;16162639
H02350	29956681;24224009
H01605	23514013;25124313;25635755;26835366;17107350
H00640	19504607;12357472;12070241
H01609	27198954;16750462;26414893;27253658;18463341;26940892;26438969
H02197	25748677;22628558;12649063
H02166	18374605
H02257	26891460;7233424
H00969	18611983
H01381	21401902;19141163
H01908	15150779;28681861;25848803
H00488	9158144;23574375;15877203
H01791	18231123;21545756
H00671	12130905;16796630
H02169	24913602;19935664
H02018	23738509;18272894
H02222	23000143;24011988
H00246	27745835;16001331;18684024;19092296
H01538	25281398;27154393
H00111	19397806;21945101;20014951
H01134	20137775;21208904;21436099
H00714	12615358;19939300;9326398;10369869
H00143	16465621;19124046;16630736
H00654	20812380;18273731
H01786	14971003;20610462
H01008	17847009
H01695	23766045;26627523
H02150	27789573;29668857;28942967
H00711	19407494;20803658;21282187;20573229
H00428	11045400;17557941;12138150;11095551;19721811
H01525	22368650;25123577;20054531;9268629;12644781
H01077	7814500;8815118;7857806
H01979	13762977;22012326;21859730;17961506;23406318
H00247	15864278;17030811;18328987;15608505;24931355;23933118;17037976;17024155
H02081	25073711;10486316;9529347
H00660	10633129;7493032;20301560;16571647
H01174	21199752;23114594;20216094;26358773;22436048
H01398	25042691;23628343;20138956;25895618;25908985
H01397	19547738;22374949
H01001	8862632;2929661;19574260
H02122	25352100;25282101
H01890	5442145;8485574;26691986;15342701;24163680;26744326
H01184	19779737
H01532	26977282;25437279;21894471;25151572
H01660	11720179;27512182;25200809;26514823
H00373	6304185;17661673;16288402
H00527	17896309;11239245;9751768;11176989;10889272;17296890;21233585;12356837;21295282;15563868
H01328	25135079
H00293	22426942;18001465;17413274;19362677;18382419;19205777
H01089	22154849;21637013;16380293;15258093
H01396	24581742;22377813;19409525;20591301;21048783
H00680	19419448;17041084;19061984
H01250	19633868;28686854;11868160
H02325	24076603;27195816
H00156	17593519;15630634
H00777	19110212;19002453;19050402
H01499	25614735;22682194;25526781
H00787	17765441;20850105;21920492;19896109;20301423;22325361;23246293;27063057
H00185	15050970;18473344
H02269	20495013;10588218
H01493	26892661;25582037;19022534;26321403;25672301
H01349	17160907;24299452
H00129	18618289;18708002
H01165	15554995
H01969	20926771;17080092;10556288
H00794	21470988;17584767;12736278
H00487	15454107;18203197;18492670
H01290	18817903
H02236	25620207;19610118
H00532	14639529;18446851;17670762
H00341	18754792;15489344;11548186
H01749	23200862;17950653;25231866;22559284
H02189	12707950;27107091
H00584	20536471;27798626;20616732;23176819;15708287;20507384;20507631
H00175	17951291;16602092;12069539
H00462	14740318;18546280;8723080
H01149	22224469;15591271
H00837	20301475;21705775;20399883;22842230
H02321	22101682;22371254
H02292	24916380
H01887	21258343;6660246;21664996;690758;28301481;16096999;26789649;8933348;2569826
H01731	18057320;24491663
H00048	10564925;15760280;16799620;23887712;15757802;19387255;15660110;15489140;17295177;21251164;15928434;17051452;22348534;27508192;15608678;20639898;11935086;27895396;11285186;12149612;22561517;22922871;21829020;12556326;15085488;9498904
H02381	27094131;24838796;26656649
H00368	21056604;21827433;21841300;21970493;21748845
H00536	20967782;16379592
H00565	19781108;21496623
H02193	29480924;28506676;15888793;27265070;9419367
H01595	26850655;27270345;18042093
H02086	23910460;26912632;18601960;23281071;24385928
H01411	21304650
H01713	25618845;26888742;21303426;20981447
H01777	27857801;16927315
H00321	7267960;10081669;9310640
H01848	22709381;26288446;18784603
H01704	27460341;26568939;27064040;27014454
H01234	21276117;22126753;12653714
H00376	20978089
H00547	17643447;7805255;15096951;17519397;11376442;20581743;11470490
H00154	3630977;2010533;8843465;15719847
H01559	24424107;11796235;19111679;24578320;20920878;26547133;26152442
H01647	10706157;24803929;17956558
H01223	19592390
H00975	17376232;9015109;11447008;10659345;1962726;2855916
H02253	27102954;23621916
H00670	21496408;21890491;17428470
H00028	11869089;17304028;17613426
H00866	15645389;26996949;25612912
H00364	19352182;22424297
H00574	19888300;15630421
H01706	15732511;17497713
H01831	24483620;23731915
H00013	17032693;17882278;12407699;10076528;15552776;15660110;15489140;9358915;10723042;17530489;16155477;9498905;15070562;2831418;16112428;11886955;17375514;12741677;12082370;17589590;12711111;16299089;17630920;9498904;15322513
H00037	12170781;12039929;11007039;12951587;11378650;10516379;19008039;16365729
H01859	11669352;24002164
H02287	11992258;24011989
H01187	19769464;10851256;9546825;16228000
H00721	21734245;20236864;18669862
H01140	19635868;19635866
H00417	18154657;17940554
H01669	27479950;28277829;9708607;26163537;25702624
H02316	11932325;19246354;28033660
H01991	11977182;9585583;11248247
H00033	12466322;12920217;17934868;11281372
H02115	22152683;2770382
H00145	10571005;16944277;18708002;10571008;8405810
H01426	20456456;11345977;16048718;21422882;20212993
H02176	20920735;12601553;29261861
H00480	23000143;18455129;27993705;15630421;9415477;15690397;20473311;16118346;25644381
H00799	21073448;15968592
H00678	17638425;20089978;20089971
H01331	20331803;14522753;14972061
H01144	22099546;12324938
H01826	25809843;21112221;20663517;27450765
H01195	19006232;20452998;22422375;20849991;21846383;11748304
H01141	19248653
H01441	11692297;17876002;21304266
H02230	17190868;10841240
H02064	14991055;9133349
H00972	19185282
H00949	21472892;18325042;22250236
H00864	18794888;17003809
H01466	18048021;18836448;26339135;19923578;26284562;26600980
H01539	27154393
H01127	17442906;16767100
H00819	19352439;20393116;12789571
H01759	22477542;24476525;27542511
H02248	20949533;22229330
H02304	10963100;23561848
H02289	27486781
H00931	17287404;17030597
H02068	7670477;18000903
H01508	23821214;22687949;22842859;19939701;26470903;26928905
H00358	-
H02046	16441263;23851939
H00264	26659848;23777631;23729695;28633435;23434117;15518599;22187985;24799518;14685682;27390132;26072516;17595294;20220177;25152455;23297365;16775378;12030326;23562820;24027061;20301532;21820100;18215208;26991897;23141294;20865121;25439726;25125609
H00275	15500372;932205;1883197
H01059	19268498;7588825;14970251;20407357
