LMFA01170043	C00042
LMPK04000028	C11987
LMFA01100042	C01933
LMFA03010100	C05953
LMFA03010035	C05953
LMST01030097	C01789
LMST01030096	C01789
LMST01010096	C03845
LMST01030100	C11522
LMST02030104	C07629
LMPR01090055	C16680
LMPR0102090014	C06575
LMPR0104170024	C11867
LMFA03020062	C03577
LMFA03020025	C03577
LMPK12020003	C09727
LMST02030088	C01953
LMPR0102070033	C11668
LMST01150015	C10827
LMFA07050364	C00100
LMPR0102090004	C00843
LMPR02030028	C02059
LMPR0102090024	C09885
LMPK13040001	C07606
LMGP13010000	C00269
LMPR0103420002	C09291
LMPR0103060001	C09621
LMPR0104170020	C11863
LMPR0103010023	C03115
LMPR0104080001	C11877
LMPK14000004	C06689
LMPR0102090022	C09877
LMPR0102120019	C09906
LMPR0104170026	C11869
LMFA08020202	C16255
LMFA03010135	C06439
LMFA07050297	C11946
LMPR0102010010	C09871
LMST02020076	C08158
LMPK12110005	C01477
LMPK13110003	C09049
LMST05040010	C15516
LMPR0102120004	C01766
LMFA01010007	C05799
LMPK04000017	C10606
LMPR01070269	C08591
LMPR0104540001	C07601
LMFA03020024	C05949
LMPR01070298	C06733
LMPK06000005	C12156
LMST05010018	C11289
LMPK12100004	C10504
LMFA07050324	C00527
LMFA03080002	C14768
LMFA02000231	C14767
LMFA02000188	C14767
LMFA02000036	C14767
LMFA07050247	C05263
LMFA07050013	C05263
LMFA07050157	C06000
LMFA02000235	C14828
LMFA02000229	C14828
LMST01090002	C04859
LMPK04000011	C06634
LMPR01010008	C00129
LMPR03080015	C00110
LMST01120017	C08866
LMFA07050156	C05268
LMPK07000005	C06624
LMPK12040010	C10034
LMST01010150	C15808
LMPK05000008	C12247
LMFA01030077	C08367
LMFA01030076	C08367
LMPR0103010002	C00448
LMPR0105010014	C04217
LMFA01050039	C08317
LMFA06000117	C08499
LMFA00000009	C01255
LMPR01090013	C02588
LMFA03100002	C13808
LMFA02000037	C14825
LMFA02000283	C14825
LMPR0102090029	C09908
LMFA01030153	C06427
LMFA01030152	C06427
LMST02020084	C02197
